File closed for incompleteness,1920,94
Loan originated,7310,3
Loan originated,6765,1
Application withdrawn by applicant,0701,144
Application withdrawn by applicant,6220,1
Loan purchased by the institution,2233,8
Application denied by financial institution,0997,75
Preapproval request approved but not accepted,0933,2
Loan purchased by the institution,2130,5
Loan originated,1164,351
File closed for incompleteness,0160,14510
File closed for incompleteness,1117,10
Loan purchased by the institution,3391,2
Application withdrawn by applicant,2597,1
Loan originated,030,11
File closed for incompleteness,0366,405
Application denied by financial institution,5383,1
Application denied by financial institution,363,122
Application approved but not accepted,3237,1
Application withdrawn by applicant,309,202
Application denied by financial institution,9048,1
Application denied by financial institution,939,5
Application approved but not accepted,2589,2
Loan originated,9473,1
Loan purchased by the institution,727,19
Application denied by financial institution,569,27
Application withdrawn by applicant,0907,93
Application denied by financial institution,260,810
Application withdrawn by applicant,930,12
Application approved but not accepted,44560,1
Application withdrawn by applicant,7250,7
Application denied by financial institution,1122,3
Application withdrawn by applicant,3245,2
Application withdrawn by applicant,1937,8
Preapproval request denied by financial institution,1671,1
Application approved but not accepted,2280,13
Application approved but not accepted,291,80
Application withdrawn by applicant,3512,4
Application denied by financial institution,5207,3
Application approved but not accepted,3134,4
Application denied by financial institution,14078,1
File closed for incompleteness,1371,1
Loan purchased by the institution,0658,192
Loan purchased by the institution,4499,1
Application approved but not accepted,536,13
Preapproval request approved but not accepted,494,2
Loan originated,375,1343
Loan purchased by the institution,6804,1
Loan originated,2006,3
Preapproval request denied by financial institution,419,2
Application approved but not accepted,497,26
Preapproval request approved but not accepted,0027,3429
Application denied by financial institution,2778,5
Application withdrawn by applicant,2864,1
Loan originated,339,1166
Loan originated,10416,2
Application denied by financial institution,8821,2
File closed for incompleteness,427,22
Application denied by financial institution,733,18
Loan originated,4705,5
Application approved but not accepted,4061,1
Application withdrawn by applicant,0074,94928
Loan originated,4984,4
Application withdrawn by applicant,127,4528
File closed for incompleteness,1499,4
Loan originated,5735,1
Application withdrawn by applicant,2391,1
Loan originated,0237,35621
Application approved but not accepted,1559,21
Application denied by financial institution,2675,6
Application withdrawn by applicant,2761,3
Preapproval request approved but not accepted,69,435
Application withdrawn by applicant,2967,6
Preapproval request approved but not accepted,3641,1
Loan purchased by the institution,370,80
Loan originated,1061,362
Loan originated,3036,3
Loan purchased by the institution,1482,8
Application withdrawn by applicant,1731,8
File closed for incompleteness,3074,1
Loan purchased by the institution,1331,1
Application approved but not accepted,1391,1
Loan purchased by the institution,1100,112
Application denied by financial institution,4353,1
Loan originated,0000172,9
Loan originated,9370,4
Application denied by financial institution,3323,4
File closed for incompleteness,6791,1
Application approved but not accepted,394,28
Application approved but not accepted,1597,2
Preapproval request approved but not accepted,112,142
File closed for incompleteness,2950,4
Loan originated,7619,2
Application denied by financial institution,630,35
Application approved but not accepted,0000605,1
Application denied by financial institution,3529,1
Loan purchased by the institution,0000181,1
Loan purchased by the institution,1306,17
Loan originated,133,21767
Loan purchased by the institution,1585,10
Application withdrawn by applicant,3718,1
Preapproval request denied by financial institution,110,465
Loan originated,1152,20
Application approved but not accepted,7602,1
Loan purchased by the institution,624,16
Loan originated,4602,2
Application approved but not accepted,639,6
Preapproval request denied by financial institution,194,50
Loan originated,478,330
Loan purchased by the institution,1409,16
Loan originated,2109,5
Loan originated,3954,7
Application approved but not accepted,330,109
Preapproval request denied by financial institution,0847,2
Application denied by financial institution,466,60
Loan originated,7413,1
Loan purchased by the institution,0555,325
Loan purchased by the institution,4014,1
Loan originated,272,1952
Application denied by financial institution,2152,1
Loan originated,0000275,1
Application approved but not accepted,2001,1
Preapproval request denied by financial institution,297,16
Loan originated,0031,472717
Application denied by financial institution,1645,30
Application approved but not accepted,6048,1
Loan originated,2194,45
Application withdrawn by applicant,3894,3
File closed for incompleteness,351,39
Loan originated,5838,2
File closed for incompleteness,2328,1
